country,region,company,website,creative_fit,employee_band_estimate,priority,why_it_fits,local_artist_angle,primary_persona_titles,secondary_persona_titles,clay_enrichment_needed,outreach_hook
Israel,Tel Aviv,Wix,https://www.wix.com,Website creation and design platform,1500+,A,"Large Israeli creator/design company; strong match for artist-led investor gifts and local pride","Israeli street artists, Tel Aviv illustrators, Wix/DeviantArt creator ecosystem","Founder/CEO; Chief of Staff; VP Investor Relations; VP Brand","VP People; Corporate Events; Executive Assistant","Verify current headcount; find investor relations/office of CEO contacts; find recent investor or board events","Street Collector can turn Wix's design-builder identity into a tangible collector object for investors."
Israel,Tel Aviv,Artlist,https://artlist.io,Music/video creator assets platform,250-1000,A,"Direct creator economy fit; premium creative audience; likely understands licensing, artists, and curation","Israeli musicians, visual artists, motion designers, creator-community artists","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Events","Verify headcount; identify CEO office and brand/partnerships leaders; enrich emails","A gift program curated like an Artlist creative brief: local artists, premium physical object, and a story investors remember."
Israel,Jerusalem/Tel Aviv,Lightricks,https://www.lightricks.com,Creative editing apps and AI content tools,500-1500,A,"Built around creators, editing, and AI creativity; strong cultural fit for artist-driven gifts","Jerusalem and Tel Aviv digital artists, illustrators, AI-assisted visual artists","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Corporate Communications","Verify current employee band; locate CEO office/ops/brand contacts","Lightricks already gives creators tools; this turns that creative DNA into a premium investor keepsake."
Israel,Tel Aviv,Fiverr,https://www.fiverr.com,Freelance creator marketplace,1500+,A,"Marketplace of creative talent; investor gift can spotlight local independent artists","Israeli freelance illustrators and designers, selected through Fiverr-style creator story","Chief of Staff; VP Investor Relations; VP Brand; VP Operations","VP People; Corporate Communications; Executive Assistant","Find investor relations and CEO office contacts; verify corporate gifting owner","A physical investor gift that celebrates the independent creative economy Fiverr helped scale."
Israel,Tel Aviv,Elementor,https://elementor.com,Website creation platform,250-1000,A,"Creator/design platform with strong WordPress and web creator community","Israeli web artists, designers, Elementor community creators","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Community","Verify company size; identify operations/brand/community leaders","Street Collector as a creator-community artifact for investors who backed the future of web creation."
Israel,Tel Aviv,Riverside,https://riverside.fm,Audio/video creator recording platform,150-500,A,"Creator-led product, premium media positioning, likely founder-led decision process","Tel Aviv video artists, podcast cover artists, motion designers","Founder/CEO; COO; VP Operations; Head of Brand","VP People; Partnerships; Community","Verify 150+ headcount; enrich founders/ops/brand contacts","For Riverside investors: a physical collector piece celebrating the creators who record, publish, and build audience."
Israel,Tel Aviv,D-ID,https://www.d-id.com,AI video and avatar creation platform,150-500,B,"AI creative tool; high-concept personalization potential","Israeli AI artists, portrait artists, digital illustrators","Founder/CEO; COO; Chief of Staff; VP Brand","VP People; Partnerships; Corporate Communications","Verify headcount; find ops/brand/CEO office contacts","A limited investor gift connecting AI-generated presence with human-made local art."
Israel,Tel Aviv,Overwolf,https://www.overwolf.com,Game creator platform,150-500,B,"Creator platform for game mods and in-game apps; strong community angle","Israeli game artists, concept artists, street/pop illustrators","Founder/CEO; VP Operations; VP Partnerships; VP Brand","VP People; Community Lead; Events","Verify headcount; identify creator/community and ops owners","A collector lamp built around the creator ecosystem behind games, mods, and community culture."
Israel,Tel Aviv,WSC Sports,https://wsc-sports.com,Sports video and content automation,250-1000,B,"Content platform, not pure creator tool, but strong media/storytelling angle","Sports illustrators, motion artists, Tel Aviv street artists","Founder/CEO; COO; VP Operations; VP Brand","VP People; Partnerships; Corporate Events","Verify investor-gifting decision makers; enrich contacts","A premium physical object that turns automated sports storytelling into an investor relationship moment."
United States,San Francisco,Webflow,https://webflow.com,Visual web design and build platform,500-1500,A,"Very strong design-builder fit; premium design culture; proven gift positioning likely resonates","Bay Area digital artists, web designers, generative artists","Chief of Staff; VP Operations; VP Investor Relations; VP Brand","VP People; Executive Assistant; Events","Verify current employee band; find CEO office/ops/brand contacts","A Webflow investor gift that feels like no-code creativity made physical."
United States,San Francisco,Figma,https://www.figma.com,Collaborative design platform,1500+,A,"Top-tier design culture; may be larger than ideal, but perfect creative alignment","Bay Area product illustrators, interface-inspired artists, design-community artists","Chief of Staff; VP Investor Relations; VP Operations; VP Brand","VP People; Corporate Communications; Events","Find investor relations/CEO office contacts; validate gifting owner","For Figma investors: a collectible object celebrating collaborative design beyond the screen."
United States,San Francisco,Notion,https://www.notion.com,Creative workspace/productivity platform,500-1500,A,"Design-forward brand, creator community, premium taste; good investor-gift fit","Bay Area illustrators, editorial artists, zine/book artists","Chief of Staff; VP Operations; VP Brand; Head of Community","VP People; Events; Corporate Communications","Verify ops/brand contacts; find investor or board-relations owner","A Notion-flavored collector piece: thoughtful, modular, personal, and built around creative work."
United States,San Francisco,Airtable,https://www.airtable.com,Visual app/data creation platform,500-1500,B,"Visual builder, creative ops, and design-led product culture","Bay Area artists working with systems, grids, color, and data visualization","Chief of Staff; VP Operations; VP Brand","VP People; Events; Executive Assistant","Verify current size; find CEO office and operations contacts","A gift that turns Airtable's structured creativity into a physical collector story."
United States,San Francisco,Runway,https://runwayml.com,AI video and creative tools,150-500,A,"Extremely high creative fit; artist-driven AI/video community; premium brand potential","NY/SF AI filmmakers, digital artists, motion artists","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Community","Verify headcount; find CEO office/ops/partnerships contacts","Runway investors backed creative tools; this gift makes that thesis tangible through local artists."
United States,San Francisco,Descript,https://www.descript.com,Audio/video creator editing platform,150-500,A,"Creator tool with media culture; likely values thoughtful creative gifting","Bay Area audio-visual artists, podcast illustrators, motion designers","Founder/CEO; COO; Chief of Staff; VP Brand","VP People; Partnerships; Community","Verify current size; enrich CEO office, operations, and brand contacts","A premium investor gift that celebrates creators editing, publishing, and telling better stories."
United States,San Francisco,Patreon,https://www.patreon.com,Creator membership platform,250-1000,A,"Direct creator economy alignment; gift can celebrate patronage and artist support","Bay Area and LA independent artists, Patreon-native creators","Chief of Staff; VP Operations; VP Brand; VP Partnerships","VP People; Creator Partnerships; Events","Verify investor/ops decision makers; identify gifting owner","Street Collector as modern patronage: a company gift that directly supports artists."
United States,San Francisco,Replit,https://replit.com,Developer creator platform,150-500,B,"Creator platform for builders; less visual but strong maker culture","Bay Area code artists, generative artists, creative technologists","Founder/CEO; Chief of Staff; VP Operations; Head of Community","VP People; Developer Relations; Events","Verify 150+ headcount; enrich CEO office and community/ops contacts","A collector object for investors who backed a new generation of builders and creative coders."
United States,New York,Vercel,https://vercel.com,Frontend/developer platform with design culture,250-1000,B,"Developer-focused but strong design/front-end creator community and premium taste","New York digital artists, creative technologists, web artists","Chief of Staff; VP Operations; VP Brand; VP Investor Relations","VP People; Developer Relations; Events","Verify current headcount; enrich CEO office/ops/brand contacts","A physical gift for investors in the creative front-end: design, code, and culture in one object."
United States,New York,Kajabi,https://kajabi.com,Creator business platform,250-1000,B,"Creator monetization platform; investor gifting can support creator-economy narrative","US independent artists, educator-creators, brand illustrators","Chief of Staff; VP Operations; VP Brand; VP Partnerships","VP People; Community; Events","Verify HQ/contact owners; enrich ops/brand contacts","A premium investor gift framed as creator-business infrastructure made visible."
United States,New York,Squarespace,https://www.squarespace.com,Website design and commerce platform,1500+,B,"Larger company, but very strong design and creator brand","NY illustrators, photographers, artists in the Squarespace creator ecosystem","VP Investor Relations; Chief of Staff; VP Brand; VP Operations","Corporate Communications; VP People; Events","Find exact gifting owner; verify investor relation structure","A collector gift for the investors behind one of the most recognizable design-led web brands."
Netherlands,Amsterdam,Miro,https://miro.com,Visual collaboration platform,1500+,A,"Creative collaboration tool; global offices allow local-artist country programs","Dutch contemporary artists, Amsterdam designers, visual facilitators","Chief of Staff; VP Investor Relations; VP Operations; VP Brand","Regional Ops; VP People; Events","Find Amsterdam HQ decision makers and regional ops owners","A Miro investor gift built around local visual collaboration: artists, boards, and shared creative space."
Netherlands,Amsterdam,Framer,https://www.framer.com,Design-to-web platform,150-500,A,"High-fit creator/design company; likely still founder/ops-led","Amsterdam digital artists, web designers, motion/generative artists","Founder/CEO; COO; Chief of Staff; Head of Brand","VP People; Community; Partnerships","Verify 150+ status; enrich founder/ops/brand contacts","A Framer investor gift that feels like interactive web design turned into a collectible physical object."
Netherlands,Amsterdam,WeTransfer,https://wetransfer.com,Creative file-sharing and editorial platform,150-500,A,"Strong creative brand, artist collaborations, premium storytelling fit","Dutch illustrators, photographers, editorial artists","CEO; Chief of Staff; VP Brand; VP Operations","VP People; Partnerships; Editorial","Verify current ownership/headcount; identify brand/partnerships contacts","WeTransfer already understands artist collaboration; Street Collector can become the investor-gift version of that ethos."
Netherlands,Amsterdam,Picnic,https://picnic.app,Design-led consumer app/grocery tech,500-1500,C,"Not a creator platform, but strong design/product culture in Netherlands","Dutch illustrators and packaging-inspired artists","Chief of Staff; VP Operations; VP Brand","VP People; Corporate Events","Verify investor event relevance; find ops/brand contacts","A locally curated design object for Dutch investors in a design-led scale-up."
United Kingdom,London,Synthesia,https://www.synthesia.io,AI video creation platform,250-1000,A,"AI video/creator tooling with strong enterprise and investor narrative","London digital artists, AI/video artists, illustrators","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Events","Verify current headcount; enrich CEO office/ops/brand contacts","A gift that pairs Synthesia's AI video future with human local artistry."
United Kingdom,London,VEED,https://www.veed.io,Online video editor for creators,150-500,A,"Direct creator/video platform; likely values creator-led premium gift","London video artists, motion designers, illustrators","Founder/CEO; COO; Chief of Staff; Head of Brand","VP People; Partnerships; Community","Verify headcount and decision makers; enrich founders/ops/brand","A VEED investor gift that celebrates video creators through a physical, artist-led collectible."
United Kingdom,London,ElevenLabs,https://elevenlabs.io,AI audio/voice platform,150-500,B,"Creative AI/audio company; strong storytelling angle though less visual","London sound artists, poster artists, audio-visual creators","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Events","Verify UK contact base and headcount; enrich operations/brand contacts","A premium gift that pairs synthetic voice innovation with the human hand of local artists."
United Kingdom,London,Improbable,https://www.improbable.io,Virtual worlds/spatial tech,150-500,B,"Creative/spatial platform; potential for world-building artist narrative","London 3D artists, game artists, spatial designers","CEO; COO; Chief of Staff; VP Operations","VP People; Partnerships; Events","Verify current headcount and funding/investor context","A collector object for investors in virtual worlds, grounded in local physical artistry."
Germany,Berlin,SoundCloud,https://soundcloud.com,Music creator platform,500-1500,A,"Strong creator/music community; artist support story is obvious","Berlin music visual artists, poster artists, street artists","Chief of Staff; VP Operations; VP Brand; VP Partnerships","VP People; Artist Relations; Events","Verify gifting owner; enrich brand/partnerships/ops contacts","Street Collector as a limited physical drop for the investors behind independent music culture."
Germany,Berlin,Ableton,https://www.ableton.com,Music creation software,250-1000,A,"Premium creative-tool company with deep artist credibility","Berlin visual musicians, album-art artists, electronic music poster artists","CEO; Chief of Staff; VP Operations; VP Brand","VP People; Artist Relations; Events","Verify structure and contact owners; enrich ops/brand contacts","An Ableton investor gift can feel like a physical instrument for visual creativity."
Germany,Berlin,Contentful,https://www.contentful.com,Content platform for digital teams,500-1500,B,"Content infrastructure, design/brand teams, Berlin creative ecosystem","Berlin editorial artists, digital illustrators, typographic artists","Chief of Staff; VP Operations; VP Brand; VP Investor Relations","VP People; Events; Partnerships","Find investor/ops/brand decision makers; validate headcount","A premium gift around content, creativity, and local Berlin design culture."
Germany,Berlin,Pitch,https://pitch.com,Presentation/design collaboration,150-500,A,"Design-forward presentation tool; strong alignment with visual storytelling","Berlin illustrators, typographers, presentation/story artists","Founder/CEO; COO; Chief of Staff; VP Brand","VP People; Community; Events","Verify headcount; enrich founder/ops/brand contacts","A Pitch investor gift that turns presentation culture into a collectible design story."
Denmark,Copenhagen,Podimo,https://podimo.com,Podcast/audio creator platform,150-500,A,"Creator subscription/audio platform; strong local artist and storytelling angle","Copenhagen illustrators, podcast cover artists, audio-visual artists","Founder/CEO; COO; Chief of Staff; VP Brand","VP People; Partnerships; Creator Relations","Verify headcount and operations contacts; enrich CEO office/brand","A local artist gift for the investors behind creator audio and podcast culture."
Denmark,Copenhagen,Siteimprove,https://www.siteimprove.com,Digital experience and accessibility platform,500-1500,B,"Digital experience/design quality; local design heritage angle","Danish design artists, accessibility-minded visual designers","Chief of Staff; VP Operations; VP Brand","VP People; Events; Corporate Communications","Verify current size; enrich ops/brand contacts","A Danish design object for investors in better digital experiences."
Denmark,Copenhagen,Templafy,https://www.templafy.com,Document/brand automation platform,250-1000,B,"Brand systems and document design angle; B2B but design-adjacent","Copenhagen typographers, brand illustrators, graphic designers","Chief of Staff; VP Operations; VP Brand","VP People; Events; Partnerships","Verify headcount and decision makers","A gift around brand consistency made personal through local artist curation."
Australia,Sydney,Canva,https://www.canva.com,Design platform,1500+,A,"Very large but ideal creative fit; likely hard to reach but worth strategic list","Sydney artists, Canva creator community, Australian illustrators","Chief of Staff; VP Investor Relations; VP Brand; VP Operations","VP People; Corporate Communications; Events","Find investor/brand gifting owners; verify whether regional gifting exists","A Canva investor gift that makes design democratization physical through Australian artists."
Australia,Melbourne,Envato,https://envato.com,Creative asset marketplace,250-1000,A,"Direct creator marketplace fit; artist-led gift story should land well","Melbourne illustrators, asset creators, motion designers","CEO; COO; Chief of Staff; VP Brand","VP People; Creator/Community Lead; Events","Verify current employee band; enrich CEO office/ops/brand contacts","Street Collector as a premium physical expression of Envato's creative marketplace."
Australia,Melbourne,Culture Amp,https://www.cultureamp.com,Employee experience platform with design culture,500-1500,B,"Not creator-first, but strong people/culture budget and premium experience fit","Melbourne artists, workplace culture illustrators","Chief of Staff; VP Operations; VP People; VP Brand","Events; Corporate Communications","Verify relevance to investor gifts; enrich ops/people contacts","A local artist gift positioned as culture, relationship, and investor experience."
Australia,Melbourne,Linktree,https://linktr.ee,Creator link-in-bio platform,150-500,A,"Creator economy brand; likely high fit for local artist-driven gifting","Melbourne digital artists, creator-community illustrators","Founder/CEO; COO; Chief of Staff; VP Brand","VP People; Partnerships; Community","Verify headcount and current contacts; enrich CEO office/brand/ops","A Linktree investor gift that celebrates creators turning audiences into relationships."
Japan,Tokyo,pixiv,https://www.pixiv.co.jp,Artist community and illustration platform,150-500,A,"Best Japan creative-community fit; local artist curation is built in","Pixiv illustrators, manga artists, Tokyo digital artists","CEO; Corporate Strategy; COO; Head of Partnerships","HR/People; Events; Community","Verify current headcount; enrich strategy/partnerships contacts","A local artist investor gift sourced from the same creative community pixiv helped define."
Japan,Tokyo,note,https://note.jp,Creator publishing platform,150-500,A,"Creator publishing/community platform; strong local gift culture fit","Tokyo illustrators, editorial artists, writers/visual artists","CEO; Corporate Strategy; COO; Head of Brand","People/HR; Partnerships; Events","Verify headcount; enrich corporate strategy and brand contacts","A premium investor gift that turns Japanese creator publishing into a physical collectible."
Japan,Tokyo,Cluster,https://cluster.mu,Virtual event/metaverse creator platform,150-500,B,"Creative virtual-world platform with artist/community angle","Tokyo 3D artists, avatar artists, virtual-event illustrators","CEO; Corporate Strategy; COO; Partnerships","People/HR; Events; Community","Verify 150+ employee status; enrich contacts","A gift connecting virtual creative worlds with local physical art."
Spain,Barcelona,Typeform,https://www.typeform.com,Design-led form and interaction platform,500-1500,B,"Strong design reputation; Barcelona local art angle","Barcelona illustrators, interaction/design artists","Chief of Staff; VP Operations; VP Brand","VP People; Events; Partnerships","Verify investor/ops contacts; enrich decision makers","A Typeform investor gift built around beautiful interaction, made physical."
Spain,Barcelona,Domestika,https://www.domestika.org,Creative learning community,250-1000,A,"Direct creative education/community fit; artist-led proposal should resonate","Barcelona/Madrid artists, Domestika teachers, illustrators","CEO; COO; Chief of Staff; VP Brand","VP People; Community; Partnerships","Verify current headcount; enrich CEO office/brand/community","A gift program that celebrates the artists and teachers behind the creative economy."
France,Paris,PhotoRoom,https://www.photoroom.com,AI photo/design editing platform,150-500,A,"Creative AI/editing tool; clear fit for artist-driven premium gifts","Paris illustrators, fashion/product artists, AI-assisted artists","Founder/CEO; COO; Chief of Staff; VP Brand","VP People; Partnerships; Events","Verify 150+ status and contacts; enrich ops/brand","A collector lamp for investors in visual AI, curated with Paris artists."
France,Paris,Deezer,https://www.deezer.com,Music streaming platform,500-1500,B,"Music/artist ecosystem; larger and more corporate but creative fit remains","Paris music visual artists, poster artists, album-cover illustrators","Chief of Staff; VP Investor Relations; VP Brand; VP Operations","Artist Relations; VP People; Events","Find investor relations and brand contacts; verify gifting owner","A limited local artist gift for investors in global music culture."
